Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,dishcatid ,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Case Price ($),Unit Price ($),Item Weight (lbs),Item Weight (tons),Primary Material,,,,Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link,,,,,,,,,
112,Y,Beverages,Cup,8 oz Aluminum Cup ,8,Aluminum ,8 oz,50,1.662,Corrugated Cardboard,12.5%,0.21,1.45,$19.50,$0.39,0.0291,0.0000,Aluminum ,,,,,,0.0291,,Ball ,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1,,,,,,,,,
113,Y,Beverages,Cup,12 oz Aluminum Cup ,8,Aluminum ,12 oz,450,16.36,Corrugated Cardboard,12.5%,2.05,14.32,$209.99,$0.47,0.0318,0.0000,Aluminum ,,,,,,0.0318,,Ball ,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1,,,,,,,,,
114,Y,Beverages,Cup,16 oz Aluminum Cup ,8,Aluminum ,16 oz,600,108.34,Corrugated Cardboard,12.5%,13.54,94.80,$269.99,$0.45,0.1580,0.0001,Aluminum ,,,,,,0.1580,,Ball ,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1,,,,,,,,,
115,Y,Beverages,Cup,8 oz Recycled Aluminum Cup ,8,Recycled Aluminum ,8 oz,50,1.662,Corrugated Cardboard,12.5%,0.21,1.45,$19.50,$0.39,0.0291,0.0000,Aluminum ,,,,,,0.0291,,Ball ,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1,,,,,,,,,
116,Y,Beverages,Cup,12 oz Recycled Aluminum Cup ,8,Recycled Aluminum ,12 oz,450,16.36,Corrugated Cardboard,12.5%,2.05,14.32,$209.99,$0.47,0.0318,0.0000,Aluminum ,,,,,,0.0318,,Ball ,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1,,,,,,,,,
117,Y,Beverages,Cup,16 oz Recycled Aluminum Cup ,8,Recycled Aluminum ,16 oz,600,108.34,Corrugated Cardboard,12.5%,13.54,94.80,$269.99,$0.45,0.1580,0.0001,Aluminum ,,,,,,0.1580,,Ball ,,https://www.amazon.com/Ball-Aluminum-Cup-Refillable-Recyclable/dp/B0BBHF9X3Y?maas=maas_adg_0D69480305E8A183CF7CDDF1133FD4DB_afap_abs&ref_=aa_maas&tag=maas&gclid=CjwKCAiA98WrBhAYEiwA2WvhOrqMBTr2Ey9c2SZDxuZ8eDOrcoE6ZqYBcDbwFbX2iB0Sft3Tr5NAPhoC4p0QAvD_BwE&th=1,,,,,,,,,
118,Y,Beverages,Cup,8 oz Polypropylene Cup ,8,Plastic (#5 PP),8 oz,48,4.95,Corrugated Cardboard,12.5%,0.62,4.33,$41.99,$0.87,0.0902,0.0000,Plastic (#5 PP),,,,,,0.0902,,Meanplan,,https://www.amazon.com/Restaurant-Resistant-Drinking-Stackable-Shatterproof/dp/B09VZ4JC9X/ref=sr_1_1?crid=VBZMSN301QU6&keywords=8%2Boz%2Breusable%2Bplastic%2Bcups&qid=1702010085&sprefix=oz%2Breusable%2Bplastic%2Bcups%2Caps%2C485&sr=8-1&th=1,,,,,,,,,
119,Y,Beverages,Cup,12 oz Polypropylene Cup ,8,Plastic (#5 PP),12 oz,24,4.95,Corrugated Cardboard,12.5%,0.62,4.33,$33.19,$1.38,0.1805,0.0001,Plastic (#5 PP),,,,,,0.1805,,Avant Grub,,https://www.amazon.com/Restaurant-Resistant-Stackable-Shatterproof-Tumblers/dp/B082J3PPCX/ref=sr_1_1?crid=2WG3SYDYRU3R7&keywords=12%2Boz%2Breusable%2Bplastic%2Bcups&qid=1702010264&sprefix=8%2Boz%2Breusable%2Bplastic%2Bcups%2Caps%2C279&sr=8-1&th=1,,,,,,,,,
120,Y,Beverages,Cup,16 oz Polypropylene Cup ,8,Plastic (#5 PP),16 oz,8,1.485,Corrugated Cardboard,12.5%,0.19,1.30,$21.99,$2.75,0.1624,0.0001,Plastic (#5 PP),,,,,,0.1624,,Amazing Abby,,https://www.alibaba.com/product-detail/Wholesale-Customized-Branded-Logo-Reusable-16_1601050145057.html?spm=a2700.galleryofferlist.normal_offer.d_title.435c13a0yvlxI1,,,,,,,,,
121,Y,Beverages,Cup,8 oz SAN Plastic Cup ,8,SAN Plastic,8 oz,12,1.12,Corrugated Cardboard,12.5%,0.14,0.98,$4.99,$0.42,0.0817,0.0000,SAN Plastic,,,,,,0.0817,,Choice ,,https://www.webstaurantstore.com/choice-8-oz-clear-san-plastic-pebbled-tumbler-pack/1768STPEBCL.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=Cj0KCQiAoeGuBhCBARIsAGfKY7wTn7l99hNR0baA-LTUwdXhMeb6zZ2DfacxueE_z_7teAxI9XMhK1oaArt6EALw_wcB,,,,,,,,,
