Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight (lbs),Net Case Weight (lbs),Case Price ($),Item Weight (lbs),Primary Material,"MTCO2eq per 1.0 pounds reduced",EF,CO2eq per item (lb),Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link
130,Y,Utensils,Fork,Durable PP Fork,Plastic (#5 PP),Standard,24,0.7383,Corrugated Cardboard,12.5%,0.09,0.65,$9.99,0.0269,Plastic (#5 PP),0.00100697,2.22,0.0598,,,0.0269,,Zoyiancy,,https://www.amazon.com/Cutlery-Reusable-Flatware-Utensils-Camping/dp/B0BFDJK5CZ/ref=sr_1_5?keywords=reusable%2Bplastic%2Butensils&qid=1699769795&sr=8-5&th=1
131,Y,Utensils,Spoon,Durable PP Spoon,Plastic (#5 PP),Standard,24,0.7383,Corrugated Cardboard,12.5%,0.09,0.65,$9.99,0.0269,Plastic (#5 PP),0.00100697,2.22,0.0598,,,0.0269,,Zoyiancy,,https://www.amazon.com/Cutlery-Reusable-Flatware-Utensils-Camping/dp/B0BFDJK5CZ/ref=sr_1_5?keywords=reusable%2Bplastic%2Butensils&qid=1699769795&sr=8-5&th=1
132,Y,Utensils,Knife,Durable PP Knife,Plastic (#5 PP),Standard,24,0.7383,Corrugated Cardboard,12.5%,0.09,0.65,$9.99,0.0269,Plastic (#5 PP),0.00100697,2.22,0.0598,,,0.0269,,Zoyiancy,,https://www.amazon.com/Cutlery-Reusable-Flatware-Utensils-Camping/dp/B0BFDJK5CZ/ref=sr_1_5?keywords=reusable%2Bplastic%2Butensils&qid=1699769795&sr=8-5&th=1
133,Y,Foodware,Clamshell,Durable PP Clamshell- 9in x 9in x 3in,Plastic (#5 PP),"9"" x 9""",12,7.875,Corrugated Cardboard,12.5%,0.98,6.89,$132.70,0.5742,Plastic (#5 PP),0.00100697,2.22,1.2748,,,0.5742,,Eco-Takeouts,,https://www.getserveware.com/product/3-compartment-polypropylene-clear-food-reusable-container-9-l-x-9-l-x-3-5-h-g-e-t-eco-takeouts-ec-09-1-cl/
134,Y,Foodware,Clamshell,Durable PP Clamshell- 5in x 5in x 3in,Plastic (#5 PP),"5"" x 5""",24,6.3,Corrugated Cardboard,12.5%,0.79,5.51,$96.00,0.2297,Plastic (#5 PP),0.00100697,2.22,0.5099,,,0.2297,,GET Enterprises,,https://eleven36.com/Eleven-36/Disposables/To-Go-Containers/Reusable-To-Go-Containers/GET-Enterprises-EC-26-1-JA-32-oz-Polypropylene-Jade-Reusable-Soup-Container-41-oz-Rim-Full-6-5-Top-Dia-3-25-Tall-Reusable-Takeout-Container/p/sku-00097013
135,Y,Foodware,Clamshell,Durable HDPE Clamshell- 9in x 9in x 3in,HDPE,"9"" x 9""",1,0.506,Corrugated Cardboard,12.5%,0.06,0.44,$6.00,0.4428,HDPE,0.00091626,2.02,0.8944,,,0.4428,,Buoy,,https://buoy.eco/shop/buoy-reusable-food-container-64oz-1-9l-lid-without-ventilation/
136,Y,Foodware,Clamshell,Durable HDPE Clamshell- 5in x 5in x 3in,HDPE,"5"" x 5""",1,0.3696,Corrugated Cardboard,12.5%,0.05,0.32,$6.00,0.3234,HDPE,0.00091626,2.02,0.6533,,,0.3234,,Buoy,,https://buoy.eco/shop/buoy-reusable-food-container-64oz-1-9l-lid-without-ventilation/
137,Y,Foodware,Plate,Large Polypropylene Plate,Plastic (#5 PP),"9"" x 9""",10,2.48,Corrugated Cardboard,12.5%,0.31,2.17,$24.12,0.2170,Plastic (#5 PP),0.00100697,2.22,0.4817,,,0.2170,,Gilac,,https://eleven36.com/Eleven-36/Disposables/To-Go-Containers/Reusable-To-Go-Containers/GET-Enterprises-EC-26-1-JA-32-oz-Polypropylene-Jade-Reusable-Soup-Container-41-oz-Rim-Full-6-5-Top-Dia-3-25-Tall-Reusable-Takeout-Container/p/sku-00097013
138,Y,Foodware,Plate,Small Polypropylene Plate,Plastic (#5 PP),"5"" x 5""",10,1.24,Corrugated Cardboard,12.5%,0.16,1.09,$24.12,0.1085,Plastic (#5 PP),0.00100697,2.22,0.2409,,,0.1085,,Gilac,,https://eleven36.com/Eleven-36/Disposables/To-Go-Containers/Reusable-To-Go-Containers/GET-Enterprises-EC-26-1-JA-32-oz-Polypropylene-Jade-Reusable-Soup-Container-41-oz-Rim-Full-6-5-Top-Dia-3-25-Tall-Reusable-Takeout-Container/p/sku-00097013
139,Y,Foodware,Plate,Large HDPE Plate,HDPE,"9"" x 9""",10,2.48,Corrugated Cardboard,12.5%,0.31,2.17,$24.12,0.2170,HDPE,0.00091626,2.02,0.4383,,,0.2170,,Gilac,,https://www.gilac.com/en/plate/167-gilactiv-plates-pack-of-10-3573678684461.html
140,Y,Foodware,Plate,Small HDPE Plate,HDPE,"5"" x 5""",10,1.24,Corrugated Cardboard,12.5%,0.16,1.09,$24.12,0.1085,HDPE,0.00091626,2.02,0.2192,,,0.1085,,Gilac,,https://www.gilac.com/en/plate/167-gilactiv-plates-pack-of-10-3573678684461.html
141,Y,Foodware,Plate,Large Ceramic Plate,Ceramic,"9"" x 9""",8,8.73,Corrugated Cardboard,12.5%,1.09,7.64,$26.99,0.9548,Ceramic,0.00144242,3.18,3.0364,,,0.9548,,XINLTC,,https://www.amazon.com/Steelite-Commercial-Foodservice-Restaurant-Contemporary/dp/B0BQNKHST1/ref=sr_1_9?c=ts&keywords=Dinner%2BPlates&qid=1699297849&refinements=p_n_feature_five_browse-bin%3A5616183011%2Cp_n_material_browse%3A366828011&s=kitchen&sr=1-9&ts_id=367155011&th=1
142,Y,Foodware,Plate,Small Ceramic Plate,Ceramic,"5"" x 5""",30,13.3,Corrugated Cardboard,12.5%,1.66,11.64,$52.99,0.3879,Ceramic,0.00144242,3.18,1.2336,,,0.3879,,XINLTC,,https://www.amazon.com/XINLTC-Ceramic-Appetizer-Microwave-Dishwasher/dp/B0B6W2BWR6/ref=sr_1_20_sspa?dib=eyJ2IjoiMSJ9.0Wgc0XKmoj1DerCyOCsfG38H0m9jwCNHz4xjzpcfdxGbo5WIyvNI0JOsCFoXcfxrMIsRpQ8aJuBwQ5CZvo28M7YzpWTiIYw2cHgoXM8cE36r0PnhKWPz9ETKbQQ5y5fCmJp_YsU6lR0TcEhNy6UKzX8Oa7ffwrG8ZYEmKLsA8PxL1e2EIkwq026LdL-i-KIom9iqH0vep1GOdefUPtbi1UsUgOam6BAhbX0L2xGWPJ9AxgJbIvgZlXyZj-LmrTgRzZVEooCtPMd9O30YXOaxmGrX7xB1C6fc6cFPh9zXU1A.FjhamYfmfh90Vfys7PpnbBzfKbqXO5wdfpBv1TMEhtY&dib_tag=se&hvadid=580695286724&hvdev=c&hvlocphy=9031042&hvnetw=g&hvqmt=e&hvrand=13659110793126508147&hvtargid=kwd-310897826076&hydadcr=21446_13322358&keywords=small%2Breusable%2Bplastic%2Bplates&qid=1708627382&sr=8-20-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
143,Y,Foodware,Plate,Large Stainless Steel Plate,Stainless Steel,"9"" x 9""",1,0.57,Corrugated Cardboard,12.5%,0.07,0.50,$6.99,0.4988,Stainless Steel,0.00175540,3.87,1.9302,,,0.4988,,Choice,,https://www.webstaurantstore.com/sizzler-7x10-5-aluminum/471ALMSZ10.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=CjwKCAiA_tuuBhAUEiwAvxkgTubL29yPcnzzLKjhCqSxCvlDT2aFFCurpBFi4Kl94Eep_K8CtA8wtRoCh_8QAvD_BwE
144,Y,Foodware,Plate,Small Stainless Steel Plate,Stainless Steel,"5"" x 5""",1,0.1,Corrugated Cardboard,12.5%,0.01,0.09,$3.29,0.0875,Stainless Steel,0.00175540,3.87,0.3386,,,0.0875,,Choice,,https://www.webstaurantstore.com/choice-6-x-1-2-round-aluminum-sizzler-platter/471ALMSZRD6.html
145,Y,Foodware,Plate,Large SAN Plastic Plate,SAN Plastic,"9"" x 9""",12,7.5,Corrugated Cardboard,12.5%,0.94,6.56,$52.49,0.5469,SAN Plastic,0.00182185,4.0165,2.1965,,,0.5469,,GET Enterprises,,https://www.webstaurantstore.com/get-ebt-1300-w-13-round-white-san-plastic-economy-bar-tray-case/375EBT1300.html?utm_source=google&utm_medium=cpc&utm_campaign=GoogleShopping&gclid=CjwKCAiAuNGuBhAkEiwAGId4arJMA_KVuw_OnI8F6oLhK2jktwJYudz26xEnanRH-1jfE-KwYbz2whoCQ5gQAvD_BwE
