Product ID,Product Available to User (Y/N),Product Category,Product,Product Description,dishcatid,Material Description,Size/Options,Case Count (Units per Case),Gross Case Weight (lbs),Box Material,Box Weight as % of Gross Weight,Box Weight per case (lbs),Box Weight per item (lbs),Net Case Weight (lbs),Item Weight (lbs),Primary Material,Secondary Material (Lining/Wrapper),Secondary Material % of Weight,Primary Material Weight per Unit (lbs),Second Material Weight per Unit (lbs),Brand,Manufacturer Model Number,Resource Link
75,Y,Utensils,Fork,Fork (medium weight) Compostable,12,Corn Starch compostable,Medium Weight,1000,13,Corrugated Cardboard,12.50%,1.63,0.001630,11.38,0.0114,Compostable Plastic (PLA),,,0.0114,,World Centric,,http://www.amazon.com/dp/B0038KXY2U?psc=1
76,Y,Utensils,Knife,Knife (medium weight) compostable,12,Corn Starch compostable,Medium Weight,1000,12.1,Corrugated Cardboard,12.50%,1.51,0.001510,10.59,0.0106,Compostable Plastic (PLA),,,0.0106,,World Centric,,http://www.amazon.com/dp/B0038KXY2U?psc=1
77,Y,Utensils,Spoon,Spoon (medium weight) Compostable,12,PLA,Standard,1000,9.8,Corrugated Cardboard,12.50%,1.23,0.001230,8.58,0.0086,Compostable Plastic (PLA),,,0.0086,,World Centric,,http://www.amazon.com/dp/B0114EH0K8?psc=1
78,Y,Utensils,Tasting Spoon,Tasting spoon Compostable,12,PLA,Standard,3000,9.8,Corrugated Cardboard,12.50%,1.23,0.000410,8.58,0.0029,Compostable Plastic (PLA),,,0.0029,,World Centric,,http://www.amazon.com/World-Centric-SP-CS-3-Compostable-Tasting/dp/B0114EGAY0/ref=sr_1_1?srs=3028046011&ie=UTF8&qid=1460155691&sr=8-1&keywords=PLA+tasting+spoons
79,Y,Utensils,Soup Spoon,Soup Spoon (medium weight) Compostable,12,TPLA,Standard,500,11.8,Corrugated Cardboard,12.50%,1.48,0.002960,10.33,0.0207,Compostable Plastic (PLA),,,0.0207,,World Centric,,http://www.amazon.com/dp/B0114EGZR2?psc=1
80,Y,Food Cups & Lids,Soup or Ice Cream Cup Lid,6 oz - 16 oz Clear Plastic Soup LId,13,Polypropylene,6-16 oz,500,8.02,Corrugated Cardboard,12.50%,1,0.002000,7.02,0.014,Plastic (#5 PP),,,0.014,,Inno-Pak,,http://www.innopak.com/product/food-service/take-out-packaging/paper-food-containers/
81,Y,Straws and Stirrers,Stir Stick,"Plastic Stir Straw 5""",0,Polypropelyne,"5""",1000,0.35,Corrugated Cardboard,12.50%,0.04,0.000040,0.31,0.0003,Plastic (#5 PP),,,0.0003,,Crystalware,,http://www.amazon.com/Crystalware-Plastic-Stirrers-Inch-1000/dp/B00FW1PSTU/ref=sr_1_1?s=industrial&ie=UTF8&qid=1462312485&sr=1-1&keywords=Stir+straws
82,Y,Straws and Stirrers,Stir Stick,"Plastic Stir Straw 7.5""",0,Polypropylene,"7.5""",1000,0.5,Corrugated Cardboard,12.50%,0.06,0.000060,0.44,0.0004,Plastic (#5 PP),,,0.0004,,Crystalware,,http://www.amazon.com/Crystalware-Plastic-Stirrers-Inch-1000/dp/B00FW1PSTU/ref=sr_1_1?s=industrial&ie=UTF8&qid=1462312485&sr=1-1&keywords=Stir+straws
83,Y,Straws and Stirrers,Straw,Plastic Straw (Unwrapped),0,Polypropylene,"7.75""",12500,16.25,Corrugated Cardboard,12.50%,2.03,0.000162,14.22,0.0011,Plastic (#5 PP),,,0.0011,,Boardwalk,,http://www.amazon.com/Boardwalk-JSTU775T50-Plastic-Translucent-Unwrapped/dp/B00U7T8GZA/ref=sr_1_4?ie=UTF8&qid=1460138048&sr=8-4&keywords=unwrapped+plastic+straws
84,Y,Straws and Stirrers,Straw,Plastic Straw (Individually Wrapped),0,Polypropylene + Paper,"7.75""",500,0.8,Corrugated Cardboard,12.50%,0.1,0.000200,0.7,0.0014,Plastic (#5 PP),Paper,19%,0.0011,0.000266,Crystalware,,http://www.amazon.com/Crystalware-Plastic-Straws-Individually-Wrapped/dp/B00ATJLQC8/ref=sr_1_1?ie=UTF8&qid=1460137731&sr=8-1&keywords=wrapped+straws
85,Y,Utensils,Fork,Fork (medium weight),12,Polypropylene,Medium Weight,1000,5.5,Corrugated Cardboard,12.50%,0.69,0.000690,4.81,0.0048,Plastic (#5 PP),,,0.0048,,Crystalware,,http://www.amazon.com/Crystalware-FPPWP1000-Disposable-Medium-Plastic/dp/B00II5AMUM/ref=sr_1_9?ie=UTF8&qid=1460156446&sr=8-9&keywords=disposable+plastic+forks+bulk
86,Y,Utensils,Tasting Spoon,Tasting Spoon,12,Polypropylene,Standard,500,1.3,Corrugated Cardboard,12.50%,0.16,0.000320,1.14,0.0023,Plastic (#5 PP),,,0.0023,,Daxwell,,http://www.amazon.com/Daxwell-Plastic-Weight-Taster-Length/dp/B00F6Q95QI/ref=sr_1_1?srs=3028046011&ie=UTF8&qid=1460155573&sr=8-1&keywords=plastic+tasting+spoons
87,Y,Beverage Cups & Lids,Cold Cup Lid,12- 20 oz lid for foam cup,14,PS (Polystyrene),12 - 20 oz,100,1,Corrugated Cardboard,23.50%,0.24,0.002400,0.77,0.0077,Plastic (#6 PS),,,0.0077,,DART,,http://www.amazon.com/16RCL-White-Optima-Reclosable-Containers/dp/B011LTW5F6/ref=sr_1_10?s=industrial&ie=UTF8&qid=1460138981&sr=1-10&keywords=12-20+oz+lid+foam+cup
88,Y,Beverage Cups & Lids,Hot Cup Lid,12- 20 oz lid for foam cup,14,Polystyrene,12 - 20 oz,100,1,Corrugated Cardboard,23.50%,0.24,0.002400,0.77,0.0077,Plastic (#6 PS),,,0.0077,,DART,,http://www.amazon.com/16RCL-White-Optima-Reclosable-Containers/dp/B011LTW5F6/ref=sr_1_10?s=industrial&ie=UTF8&qid=1460138981&sr=1-10&keywords=12-20+oz+lid+foam+cup
89,Y,Beverage Cups & Lids,Hot Cup Lid,8 oz Hot Cup lid,14,Polystyrene,8 oz,1000,6.1,Corrugated Cardboard,23.50%,1.43,0.001430,4.67,0.0047,Plastic (#6 PS),,,0.0047,,Georgia Pacific- Dixie,,http://www.amazon.com/Dixie-9538DX-WiseSize-PerfecTouch-Single/dp/B004NG8DFG/ref=sr_1_1?ie=UTF8&qid=1460150840&sr=8-1&keywords=8+oz+coffee+cup+lids
90,Y,Beverage Cups & Lids,Hot Cup Lid,12 oz- 16 oz Hot Cup lid,14,Polystyrene,12 - 16 oz,1000,9.4,Corrugated Cardboard,23.50%,2.21,0.002210,7.19,0.0072,Plastic (#6 PS),,,0.0072,,Solo,,http://www.amazon.com/SOLO-TLP316-0007-White-Traveler-Paper/dp/B004122WAE/ref=pd_sim_328_1?ie=UTF8&dpID=41tjPWL7nsL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=1JD0HMVPWRVAP81Z2Z23
91,Y,Beverage Cups & Lids,Hot Cup Lid,20 oz Hot Cup lid,14,Polystyrene,20 oz,500,4.2,Corrugated Cardboard,23.50%,0.99,0.001980,3.21,0.0064,Plastic (#6 PS),,,0.0064,,Georgia Pacific-Dixie,,http://www.amazon.com/Dixie-9542500DX-WiseSize-10-16-PerfecTouch/dp/B004NG8DFQ/ref=sr_1_2?ie=UTF8&qid=1460151541&sr=8-2&keywords=20oz+lids
92,Y,Food Cups & Lids,Portion Cup,1 oz side cup Plastic,10,Polystyrene,1 oz,2500,8.2,Corrugated Cardboard,23.50%,1.93,0.000772,6.27,0.0025,Plastic (#6 PS),,,0.0025,,Solo,,http://www.amazon.com/SOLO-P100N-PORTION-CONTAINER-Packs/dp/B0040ZP1IW/ref=pd_bxgy_328_img_2?ie=UTF8&refRID=0KAZXGGS71FGKT5MRGKC
93,Y,Food Cups & Lids,Portion Cup,2 oz side cup Plastic,10,Polystyrene,2 oz,2500,9.4,Corrugated Cardboard,23.50%,2.21,0.000884,7.19,0.0029,Plastic (#6 PS),,,0.0029,,Solo,,http://www.amazon.com/B200N-0100-Polystyrene-Souffle-Capacity-Translucent/dp/B005LX17EE/ref=pd_sim_328_2?ie=UTF8&dpID=215CiZacAmL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=0M7YQESKB2KB4K0QV076
94,Y,Food Cups & Lids,Portion Cup,4 oz side cup Plastic,10,Polystyrene,4 oz,2400,18.5,Corrugated Cardboard,23.50%,4.35,0.001813,14.15,0.0059,Plastic (#6 PS),,,0.0059,,Georgia Pacific- Dixie,,http://www.amazon.com/P040TRANSLUC-Translucent-Plastic-Souffle-Capacity/dp/B0171GDE6M/ref=sr_1_29?s=industrial&ie=UTF8&qid=1460153841&sr=1-29&keywords=4+oz+portion+cup
95,Y,Food Cups & Lids,Portion Cup Lid,1 oz lid  Plastic,15,Polystyrene,1 oz,5000,6,Corrugated Cardboard,23.50%,1.41,0.000282,4.59,0.0009,Plastic (#6 PS),,,0.0009,,Solo,,http://www.amazon.com/SOLO-PL1-0090-Polystyrene-Souffl%C3%A9-Cup/dp/B0040ZP2EA/ref=sr_1_14?ie=UTF8&qid=1460153205&sr=8-14&keywords=polystyrene+portion+cup
96,Y,Food Cups & Lids,Portion Cup Lid,2 oz lid Plastic,15,Polystyrene,2 oz,2500,8,Corrugated Cardboard,23.50%,1.88,0.000752,6.12,0.0024,Plastic (#6 PS),,,0.0024,,Solo,,http://www.amazon.com/PL2-0090-Polystyrene-Souffl%C3%A9-Portion-without/dp/B0040ZP2EK/ref=pd_bxgy_328_2?ie=UTF8&refRID=1K7NHJ0X0HH7QWZ50D2Z
97,Y,Food Cups & Lids,Portion Cup Lid,4 oz lid Plastic,15,Polystyrene,4 oz,2400,7,Corrugated Cardboard,23.50%,1.65,0.000688,5.36,0.0022,Plastic (#6 PS),,,0.0022,,Georgia Pacific- Dixie,,http://www.amazon.com/PL4-Plastic-Souffle-Translucent-Sleeves/dp/B007G0X2DO/ref=pd_sim_sbs_328_6?ie=UTF8&dpID=31JRpTO0GcL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=0ZBV9A05SG6MV37S3Q1D
98,Y,Plates and Bowls (Dinnerware),Bowl,12 oz Bowl Plastic,4,Polystyrene,12 oz,500,8.6,Corrugated Cardboard,12.50%,1.08,0.002160,7.53,0.0151,Plastic (#6 PS),,,0.0151,,Solo,,http://www.amazon.com/SOLO-PSB2W-0099-Polystyrene-Capacity-White/dp/B0040ZP2YA/ref=sr_1_3?srs=8894761011&ie=UTF8&qid=1461971356&sr=8-3&keywords=solo+plastic+bowls
99,Y,Plates and Bowls (Dinnerware),Plate,"10.25""-Dinner Plate- Plastic",16,Polystyrene,"10""",500,32.2,Corrugated Cardboard,12.50%,4.03,0.008060,28.18,0.0564,Plastic (#6 PS),,,0.0564,,Solo,,http://www.amazon.com/PS15W-0099-10-25-Deep-Well-Plastic-Plate/dp/B0040ZP2OA/ref=sr_1_11_s_it?s=hpc&ie=UTF8&qid=1461970133&sr=1-11&keywords=polystyrene+plastic+plates
100,Y,Plates and Bowls (Dinnerware),Plate,"6"" Plate Plastic",16,Polystyrene,"6""",1000,16.4,Corrugated Cardboard,12.50%,2.05,0.002050,14.35,0.0144,Plastic (#6 PS),,,0.0144,,Solo,,http://www.amazon.com/Solo-Foodservice-P65R-0099-Medium-Plastic/dp/B0040ZP268/ref=sr_1_45?srs=8894761011&ie=UTF8&qid=1461971462&sr=8-45&keywords=solo+plastic+bowls
101,Y,Utensils,Fork,Fork (heavy weight),12,Polystyrene,Heavy Weight,1000,15,Corrugated Cardboard,23.50%,3.53,0.003530,11.48,0.0115,Plastic (#6 PS),,,0.0115,,Georgia Pacific-Dixie,,https://www.webstaurantstore.com/choice-individually-wrapped-medium-weight-black-plastic-fork-case/130BFORKWP.html
102,Y,Utensils,Knife,Knife (heavy weight),12,Polystyrene,Heavy Weight,1000,15,Corrugated Cardboard,23.50%,3.53,0.003530,11.48,0.0115,Plastic (#6 PS),,,0.0115,,Georgia Pacific-Dixie,,https://www.webstaurantstore.com/choice-individually-wrapped-medium-weight-black-plastic-knife-case/130BKNIFEWP.html
103,Y,Utensils,Soup Spoon,Soup Spoon (medium weight),12,Polystyrene,Standard,1000,9.1,Corrugated Cardboard,23.50%,2.14,0.002140,6.96,0.007,Plastic (#6 PS),,,0.007,,Georgia Pacific-Dixie,,https://www.webstaurantstore.com/choice-individually-wrapped-medium-weight-black-plastic-soup-spoon-case/130BSSPOONWP.html
104,Y,Utensils,Teaspoon,Teaspoon (heavy weight),12,Polystyrene,Standard,1000,9.2,Corrugated Cardboard,23.50%,2.16,0.002160,7.04,0.007,Plastic (#6 PS),,,0.007,,Georgia Pacific-Dixie,,http://www.amazon.com/Dixie-FH517-Weight-Polystyrene-Length/dp/B0171GB6YE/ref=sr_1_10?ie=UTF8&qid=1460156446&sr=8-10&keywords=disposable+plastic+forks+bulk
105,Y,Straws and Stirrers,Stir Stick,"7.5"" Wooden Stirrers",12,Birchwood,"7.5""",1000,2.2,Corrugated Cardboard,12.50%,0.28,0.000280,1.93,0.0019,Wood,,,0.0019,,Perfect Stix,,http://www.amazon.com/Perfect-Stix-Wooden-Coffee-Stirrer/dp/B019ZDUNK4/ref=sr_1_2?s=industrial&ie=UTF8&qid=1462312651&sr=1-2&keywords=wood+stirrer
106,Y,Straws and Stirrers,Stir Stick,"5."" Wooden Stirrers",12,Birchwood,"5""",1000,1,Corrugated Cardboard,12.50%,0.13,0.000130,0.88,0.0009,Wood,,,0.0009,,Perfect Stix,,http://www.amazon.com/Perfect-Stix-Wooden-Coffee-Stirrer/dp/B019ZDUULG/ref=sr_1_4?s=industrial&ie=UTF8&qid=1462312651&sr=1-4&keywords=wood+stirrer
107,Y,Tooth Picks,Tooth Picks,Unwrapped Wood Toothpicks,0,Wood (White Birch),Standard,19200,5.7,Corrugated Cardboard,12.50%,0.71,0.000037,4.99,0.0003,Wood,,,0.0003,,Royal,,http://www.amazon.com/Royal-Round-Toothpicks-Natural-Carton/dp/B00WC1XW46/ref=sr_1_8?s=kitchen&ie=UTF8&qid=1462643844&sr=1-8&keywords=unwrapped+toothpicks
108,Y,Tooth Picks,Tooth Picks,Individually Wrapped Wood Toothpicks,0,Wood (White Birch) w/PLA Wrapper,Standard,1000,0.4,Corrugated Cardboard,12.50%,0.05,0.000050,0.35,0.0004,Wood,Compostable Plastic (PLA),10%,0.0003,0.000035,Royal Plain,,http://www.amazon.com/Royal-Individual-Wrapped-Toothpicks-Package/dp/B015OQ4XV6/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1462643684&sr=1-5&keywords=wrapped+toothpicks
109,Y,Utensils,Chopsticks,Wood chopsticks in a paper sleeve,0,Wood + Paper,Standard,40,0.2,Corrugated Cardboard,12.50%,0.03,0.000750,0.18,0.0044,Wood,Paper,10%,0.0039,0.0004375,Genroku,,http://www.amazon.com/Disposable-Chopsticks-pack-40-pair/dp/B00196Y96K/ref=sr_1_15?ie=UTF8&qid=1460156816&sr=8-15&keywords=chop+sticks
110,N,Food Cups & Lids,Soup or Ice Cream Cup Lid,6 oz- 16 oz paper double walled lid,13,Paper (SBS),6-16 oz,500,13.67,Corrugated Cardboard,12.50%,1.71,0.003420,11.96,0.0239,Paper,Plastic (LDPE),10%,0.0215,0.00239225,Inno-Pak,,
111,Y,Beverage Cups & Lids,Plastic water bottle,Plastic water bottle,8,PET,17 oz,24,27.7,Corrugated Cardboard,12.50%,0.1256634,0.005236,1.0053072,0.0418878,Plastic (#1 PET),,,,,Aquafina ,,https://www.amazon.com/Aquafina-Water-16-9-Pack-24/dp/B000R9EEH4?th=1
